post_id,platform,post_type,post_date,post_time,likes,comments,shares,post_day,sentiment_score
87,Instagram,text,5/23/23,10:30:00,15,70,454,Tuesday,neutral
88,Facebook,text,5/3/23,12:30:00,3404,244,67,Wednesday,positive
89,Twitter,carousel,5/3/23,8:00:00,2884,197,339,Wednesday,positive
90,Instagram,poll,3/19/23,4:00:00,3195,109,243,Sunday,negative
91,Facebook,carousel,9/15/23,12:45:00,3956,402,462,Friday,negative
92,Facebook,video,2/23/23,5:15:00,1857,216,344,Thursday,positive
93,Instagram,carousel,5/7/23,12:30:00,951,432,734,Sunday,negative
94,Facebook,image,11/27/23,4:30:00,1694,207,290,Monday,positive
95,Instagram,poll,3/7/23,7:15:00,3005,124,517,Tuesday,positive
96,Instagram,carousel,7/12/23,5:45:00,36,294,911,Wednesday,positive
97,Twitter,video,10/27/23,11:45:00,314,108,458,Friday,neutral
98,Twitter,text,8/5/23,8:45:00,229,179,38,Saturday,positive
99,Instagram,poll,12/29/23,12:15:00,5000,500,204,Friday,positive
100,Instagram,image,6/6/23,9:00:00,4483,357,25,Tuesday,neutral
